ID;Area;Priorità;Dispositivo;Contesto;Rotta;Componente;Azione;Esito atteso;Esito;Difetto osservato;Riferimento;Verifica automatica
QA-130;Resa sul desktop;media;Desktop Safari (macOS);1280x800;/;Programme;Passare la rotella sopra la rotaia della Timeline;Il programma scorre lo stesso;;;Timeline.astro;
QA-131;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Timeline;Guardare la rotaia a destra;"Tutte le serate hanno una tacca; le vicine portano la data, le lontane sono segni";;;regola 14;
QA-132;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Timeline;Cliccare la tacca della serata 78;Atterra sulla 78 subito e l’indirizzo diventa /78;;;regola 16;
QA-133;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Timeline;Cliccare due tacche lontane a due decimi di distanza;"Atterra sulla seconda; rotaia, accento e indirizzo dicono la stessa serata";;;regola 15;
QA-134;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/81;Scene;Leggere la scena intera;Il testo non passa sotto la rotaia della Timeline;;;Scene.astro;
QA-135;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/81;Modal;Aprire «Prenota il posto» e chiudere con Esc;Si apre, Esc chiude, il fuoco torna sul bottone;;;PR 12;
QA-136;Resa sul desktop;media;Desktop Safari (macOS);1280x800;/81;Modal;Guardare il bordo superiore del pannello;È del colore del ciclo della serata da cui è stato aperto, non arancio;;;regola 12;
QA-137;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;SiteNav;Guardare la riga delle voci;"Quattro voci in riga; la voce della pagina corrente è evidenziata";;;regola 18;
QA-138;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;CycleAccents;Scorrere dalla 81 alla 83;L’accento della rotaia e della navigazione segue la serata a schermo;;;regola 12;
QA-139;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Programme;Scorrere di dieci serate e premere il tasto indietro;Si esce dal sito: la cronologia non ha una voce per serata attraversata;;;regola 16;
QA-140;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Programme;Ricaricare mentre si è a metà archivio;La pagina torna dove era o sulla serata dell’indirizzo: il ripristino del browser e il salto dello script non litigano;;;piano PR 19;
QA-141;Resa sul desktop;media;Desktop Safari (macOS);1280x800;/81;Scene;Selezionare e copiare due righe della descrizione;La selezione funziona e non fa scorrere la scena;;;piano PR 19;
QA-142;Resa sul desktop;media;Desktop Safari (macOS);1280x800;/componenti;Rassegna;Scorrere la rassegna dei componenti;Ogni componente rende in tutte le sue varianti;;;PR 6;
QA-143;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Programme;Premere Freccia giù, PagGiù, Fine, Home, Freccia su;Ogni tasto sposta di una serata, Home e Fine agli estremi: il comportamento documentato come diverso in Firefox è stato verificato;OK;;vincoli-tecnici;Freccia giù → 82, PagGiù → 83, Fine → 83, Home → 78, Freccia su → 78: ogni tasto sposta di una serata e gli estremi si fermano
QA-144;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Programme;Premere Tab dopo il salta-a e poi Freccia giù;Lo scroller prende il fuoco e le frecce muovono il programma;;;Programme.astro;
QA-145;Resa sul desktop;media;Desktop Chrome (Windows);1280x800;/;Programme;Guardare la barra di scorrimento del programma;Non c’è una barra chiara su fondo blu: color-scheme è dichiarato;Non ho capito;;piano PR 19;La domanda era mal posta, ed è per questo che non si capisce: lo scroller nasconde la propria barra (scrollbar-width: none), quindi non c’è niente da guardare. Quello che manca davvero è la dichiarazione color-scheme, che nel CSS pubblicato non compare: vale per i controlli di sistema, non per questa barra.
QA-146;Formati;alta;Desktop Chrome (Windows);320 px di larghezza;/;Scene;Restringere la finestra a 320 px e leggere la scena;Niente scorrimento orizzontale, nessun testo tagliato;OK;"La serata 78 rimane leggermente tagliata, a casua del ""gia' svolta""";piano PR 19;
QA-147;Formati;alta;Desktop Chrome (Windows);320 px di larghezza;/;SiteNav;Guardare la pillola a 320 px;Il marchio esteso resta leggibile: l’altezza si riduce, la firma non si taglia;OK;;regola 7;
QA-148;Formati;alta;Desktop Chrome (Windows);320 px di larghezza;/;Timeline;Guardare la barra a 320 px;Le pillole restano toccabili e la barra scorre;OK;;PR 11;
QA-149;Formati;media;Desktop Chrome (Windows);320 px di larghezza;/contatti;pages.css;Leggere la riga di contatto WhatsApp;Il numero non manda a capo in mezzo alle cifre;OK;;regola 17;
QA-150;Formati;alta;Desktop Chrome (Windows);finestra alta 500 px;/81;Scene;Ridurre l’altezza della finestra a 500 px;La descrizione cede, il resto resta leggibile, niente esce dalla scena;No;Molti elementi escono dalla scena in basso;Scene.astro;Misurato a 1280x500: la nota e i bottoni escono di 26 px dal fondo della scena, la foto di 42. La causa: sopra i 900 px di larghezza non esiste nessuna soglia che tolga la descrizione — sul telefono sparisce sotto i 760 px di altezza — e .scene-text non ha overflow: hidden, quindi il contenuto esce invece di essere ritagliato.
QA-151;Formati;media;Desktop Chrome (Windows);finestra alta 500 px;/81;Modal;Aprire il modale con la finestra bassa;"Il pannello sta dentro e scorre; la X resta raggiungibile";OK;;Modal.astro;
QA-152;Formati;media;Desktop Chrome (Windows);ultrawide (>=2560);/81;Scene;Aprire la scena su uno schermo ultrawide;"Il testo non si allarga oltre la misura di lettura; la foto resta proporzionata";OK;;PR 18;
QA-153;Formati;media;Desktop Chrome (Windows);ultrawide (>=2560);/chi-siamo;pages.css;Leggere una colonna di prosa;La riga resta sotto i 75 caratteri;OK;;piano PR 19;
QA-154;Formati;media;Desktop Chrome (Windows);1280x800;/;Programme;Ridimensionare la finestra mentre si è sulla serata 82;Dopo il ridimensionamento si è ancora sulla 82;OK;;regola 1;
QA-155;Formati;alta;iPad (Safari);verticale (820 px);/;SiteNav;Guardare quale delle due navigazioni compare;A 820 px compare la tendina del telefono, e funziona;OK;;regola 18;
QA-156;Formati;alta;iPad (Safari);orizzontale (1180 px);/;SiteNav;Ruotare e riguardare la navigazione;A 1180 px compare la riga di voci, e funziona;OK;;regola 18;
QA-157;Formati;alta;iPad (Safari);orizzontale (1180 px);/;Timeline;Guardare dove sta la Timeline;Rotaia verticale a destra, non barra in basso;OK;;PR 11;
QA-158;Formati;media;iPad (Safari);verticale (820 px);/81;Scene;Leggere la scena;Impaginazione a una colonna, niente coperto;OK;;PR 18;
QA-159;Formati;media;iPad (Safari);orizzontale (1180 px);/81;Scene;Leggere la scena;Impaginazione a due colonne, il testo non passa sotto la rotaia;OK;;Scene.astro;
QA-160;Formati;media;iPad (Safari);verticale (820 px);/81;Modal;Aprire e chiudere il modale con un tocco fuori;Si apre e si chiude;OK;;PR 12;
QA-161;Formati;media;iPad (Safari);orizzontale (1180 px);/;Programme;Uno scorrimento con due dita;Lo snap aggancia una serata sola;;;regola 1;
QA-162;Impostazioni;alta;Desktop Chrome (Windows);zoom del browser 200%;/81;Scene;Portare lo zoom al 200% e leggere la scena;Nessuno scorrimento orizzontale, niente tagliato;OK;;piano PR 19;
QA-163;Impostazioni;alta;Desktop Chrome (Windows);zoom del browser 200%;/;Timeline;Guardare la rotaia al 200%;Le tacche restano leggibili e cliccabili;OK;;PR 11;
QA-164;Impostazioni;alta;Desktop Chrome (Windows);zoom del browser 400%;/81;Scene;Portare lo zoom al 400%;Il contenuto si ricompone su una colonna e resta raggiungibile;OK;Diventa mobile (illegibile);piano PR 19;
QA-165;Impostazioni;alta;Desktop Chrome (Windows);zoom del browser 400%;/chi-siamo;pages.css;Leggere la pagina al 400%;Nessuno scorrimento orizzontale;OK;;piano PR 19;
QA-166;Impostazioni;alta;iPhone recente (Safari 18+);testo di sistema 200%;/81;Scene;Alzare il testo di sistema al 200% e riaprire la scena;Il testo cresce davvero e resta dentro la scena, senza finire sotto la barra;;;regola 23;
QA-167;Impostazioni;alta;iPhone recente (Safari 18+);testo di sistema 200%;/;Timeline;Guardare la barra con il testo al 200%;Le date restano leggibili e la barra non copre la nota della scena;;;regola 23;
QA-168;Impostazioni;alta;Desktop Chrome (Windows);carattere di base a 24 px;/81;Scene;Alzare il carattere predefinito del browser e ricaricare;Il titolo e la descrizione crescono con esso: le misure sono in rem;OK;;regola 23;
QA-169;Impostazioni;media;Desktop Chrome (Windows);carattere di base a 24 px;/contatti;pages.css;Rileggere le righe di contatto;Crescono e non si sovrappongono;OK;;regola 23;
QA-170;Impostazioni;alta;Desktop Chrome (Windows);prefers-reduced-motion;/;Programme;Attivare la riduzione del movimento e scorrere;"Nessuna animazione di scorrimento; i salti sono immediati";No;Scorrimento normale;regola 15;Quello che hai visto è l’esito atteso: il progetto non anima nessuno scorrimento per costruzione (regola 15), quindi sotto prefers-reduced-motion non cambia niente ed è giusto così. La riga andrebbe letta come OK.
QA-171;Impostazioni;alta;Desktop Chrome (Windows);prefers-reduced-motion;/;Timeline;Cliccare una tacca lontana;Il salto è immediato, nessuna transizione lunga sulle tacche;OK;;regola 15;
QA-172;Impostazioni;media;Desktop Chrome (Windows);prefers-reduced-motion;/componenti;Button;Premere un bottone;L’effetto premuto non anima più del dovuto;OK;;PR 6;
QA-173;Impostazioni;media;Desktop Chrome (Windows);prefers-reduced-motion;/;Programme;Guardare lo snap fra due serate;Lo snap resta ma non è un’animazione lunga;NO;Non funziona lo snap;regola 1;L’esito atteso scritto in questa riga era sbagliato, e la tua osservazione è giusta: il CSS pubblicato contiene [data-scroller] { scroll-snap-type: none !important } dentro @media (prefers-reduced-motion), quindi lo snap viene tolto apposta. Resta da decidere se è la scelta voluta, ma non è un guasto.
QA-174;Impostazioni;alta;Desktop Chrome (Windows);JavaScript disattivato;/;Programme;Aprire / con gli script spenti;Si apre sulla serata più vecchia e si scorre normalmente: niente è rotto;NO;Si apre sulla prima serata;Programme.astro;Anche qui l’esito atteso è proprio quello che hai visto: senza script il programma si apre sulla serata più vecchia e si scorre normalmente. È la degradazione dichiarata in Programme.astro.
QA-175;Impostazioni;alta;Desktop Chrome (Windows);JavaScript disattivato;/81;Scene;Guardare i bottoni della serata;Al posto del bottone del modale c’è il link diretto: nessun bottone morto;OK;;checkNoJsSwitch;
QA-176;Impostazioni;alta;Desktop Chrome (Windows);JavaScript disattivato;/78;Scene;Guardare i materiali della serata passata;La lista dei link è visibile e cliccabile;OK;;PR 12;
QA-177;Impostazioni;alta;Desktop Chrome (Windows);JavaScript disattivato;/;Timeline;Cliccare una tacca;Il browser salta alla serata da solo;OK;Si, ma non aggiorna la tacca;regola 14;
QA-178;Impostazioni;media;Desktop Chrome (Windows);JavaScript disattivato;/81;Programme;Aprire /81 con gli script spenti;Si apre in cima: è la degradazione dichiarata, e va giudicato se è accettabile;OK;Non e' accettabile;piano PR 19;
QA-179;Impostazioni;media;Desktop Chrome (Windows);JavaScript disattivato;/;SiteNav;Aprire la tendina del telefono;Si apre: è un <details>, non serve uno script;OK;;regola 18;
QA-180;Impostazioni;alta;Desktop Chrome (Windows);alto contrasto Windows;/;Scene;Attivare l’alto contrasto e guardare una scena;Il testo resta leggibile e nessun blocco diventa invisibile;OK;;piano PR 19;
QA-181;Impostazioni;alta;Desktop Chrome (Windows);alto contrasto Windows;/;Timeline;Guardare la rotaia in alto contrasto;La tacca corrente si distingue dalle altre senza affidarsi al colore d’accento;OK;;piano PR 19;
QA-182;Impostazioni;alta;Desktop Chrome (Windows);alto contrasto Windows;/81;Modal;Aprire il modale in alto contrasto;Il pannello ha un bordo visibile e si distingue dal fondo;OK;;piano PR 19;
QA-183;Impostazioni;media;Desktop Chrome (Windows);alto contrasto Windows;/componenti;Button;Guardare le varianti del bottone;Primario e secondario restano distinguibili;OK;;piano PR 19;
QA-184;Impostazioni;media;Desktop Chrome (Windows);alto contrasto Windows;/;GuestRow;Guardare un ritratto ritagliato;La foto resta visibile e il ritaglio non produce un buco;OK;;regola 13;
QA-185;Impostazioni;media;Desktop Chrome (Windows);traduzione automatica di Chrome;/81;Scene;Far tradurre la pagina in inglese;La scena resta impaginata e leggibile;OK;;piano PR 19;
QA-186;Impostazioni;alta;Desktop Chrome (Windows);traduzione automatica di Chrome;/81;Modal;Tradurre e poi aprire il modale;Il pannello si riempie lo stesso: la clonazione non si rompe sui nodi riscritti;OK;;piano PR 19;
QA-187;Impostazioni;media;Desktop Chrome (Windows);traduzione automatica di Chrome;/;Timeline;Tradurre e guardare le date delle tacche;Le date restano leggibili e non diventano una data macchina;OK;;regola 11;
QA-188;Impostazioni;media;iPhone recente (Safari 18+);risparmio dati;/;Scene;Aprire il sito con il risparmio dati attivo;Le fotografie arrivano, o lasciano uno spazio pulito che non sposta lo snap;;;Scene.astro;
QA-189;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/;Base;Premere Tab una volta dall’apertura;Compare «Salta al programma», visibile e leggibile;OK;E' ancora necessario? Non penso;PR 5;
QA-190;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/;Base;Premere Invio sul salta-a;Il fuoco si sposta sul programma, non solo lo scorrimento;OK;;PR 5;
QA-191;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/;SiteNav;Tabulare attraverso le voci di navigazione;"Ogni voce prende il fuoco con un contorno visibile; «Rassegna stampa» viene saltata";OK;;regola 18;
QA-192;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/;Programme;Premere Freccia giù sullo scroller;Passa alla serata successiva, una sola;OK, solo dopo che premo qualcosa;;vincoli-tecnici;
QA-193;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/;Programme;Premere Fine e poi Home;Fine va all’ultima serata, Home riporta alla prima;OK, solo dopo che premo qualcosa;;vincoli-tecnici;
QA-194;Accessibilità;media;Desktop Chrome (Windows);sola tastiera;/;Programme;Premere Maiusc+Freccia giù;Non viene intercettato: è la selezione, e resta al browser;OK;;Programme.astro;
QA-195;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/;Timeline;Tabulare fino a una tacca;Il contorno di messa a fuoco si vede per intero, anche sulla pillola piena;OK;;Timeline.astro;
QA-196;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/81;Modal;Aprire il modale con Invio e tabulare dentro;Il fuoco entra nel pannello e non ne esce finché è aperto;OK;;PR 12;
QA-197;Accessibilità;alta;Desktop Chrome (Windows);sola tastiera;/81;Modal;Chiudere con Esc;Si chiude e il fuoco torna sul bottone che lo ha aperto;OK;;PR 12;
QA-198;Accessibilità;media;Desktop Chrome (Windows);sola tastiera;/;SiteNav;Aprire la tendina con Invio;Si apre e le voci dentro prendono il fuoco in ordine;OK;;regola 18;
QA-199;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/;Base;Premere Tab una volta dall’apertura;Compare «Salta al programma», visibile e leggibile;;;PR 5;NON MISURABILE in automazione: document.hasFocus() è false perché la finestra non è in primo piano, quindi :focus non fa match e il salta-a resta a translateY(-45px). Da fare a mano
QA-200;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/;Base;Premere Invio sul salta-a;Il fuoco si sposta sul programma, non solo lo scorrimento;OK;;PR 5;"Dopo Invio sul salta-a il fuoco è su <main id=""programma"" tabindex=""-1"">: si sposta il fuoco e non solo lo scorrimento. Si misura anche senza il fuoco di sistema, perché document.activeElement non dipende da esso"
QA-201;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/;SiteNav;Tabulare attraverso le voci di navigazione;"Ogni voce prende il fuoco con un contorno visibile; «Rassegna stampa» viene saltata";;;regola 18;NON MISURABILE per la stessa ragione di QA-199: nessuno stile :focus-visible si applica. Quello che si è potuto verificare è che «Rassegna stampa» viene saltata dal Tab, come deve
QA-202;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/;Programme;Premere Freccia giù sullo scroller;Passa alla serata successiva, una sola;OK;;vincoli-tecnici;Dalla 81 la freccia giù porta alla 82, una sola
QA-203;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/;Programme;Premere Fine e poi Home;Fine va all’ultima serata, Home riporta alla prima;OK;;vincoli-tecnici;Fine porta alla 83 (ultima), Home alla 78 (prima)
QA-204;Accessibilità;media;Desktop Firefox (Windows);sola tastiera;/;Programme;Premere Maiusc+Freccia giù;Non viene intercettato: è la selezione, e resta al browser;OK;;Programme.astro;Maiusc+Freccia giù non viene intercettato: la scena resta la 81
QA-205;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/;Timeline;Tabulare fino a una tacca;Il contorno di messa a fuoco si vede per intero, anche sulla pillola piena;;;Timeline.astro;NON MISURABILE per la stessa ragione di QA-199. Il CSS pubblicato dichiara .timeline-tick:focus-visible con outline 3px e offset di uno spazio, e la geometria dice che l’anello sta dentro la rotaia: resta da vederlo
QA-206;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/81;Modal;Aprire il modale con Invio e tabulare dentro;Il fuoco entra nel pannello e non ne esce finché è aperto;;;PR 12;NON MISURABILE: senza il fuoco di sistema il Tab attraversa il modale invece di restarci. Il modale però si apre e si chiude, e il fuoco torna al bottone (QA-207)
QA-207;Accessibilità;alta;Desktop Firefox (Windows);sola tastiera;/81;Modal;Chiudere con Esc;Si chiude e il fuoco torna sul bottone che lo ha aperto;OK;;PR 12;Esc chiude e il fuoco torna sul bottone che ha aperto il modale
QA-208;Accessibilità;media;Desktop Firefox (Windows);sola tastiera;/;SiteNav;Aprire la tendina con Invio;Si apre e le voci dentro prendono il fuoco in ordine;OK;;regola 18;Il click sulla linguetta apre la tendina (tre voci con indirizzo su quattro) e le voci prendono il fuoco nell’ordine: Programma, Chi siamo, Contatti
QA-209;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/;Base;Premere Tab una volta dall’apertura;Compare «Salta al programma», visibile e leggibile;;;PR 5;
QA-210;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/;Base;Premere Invio sul salta-a;Il fuoco si sposta sul programma, non solo lo scorrimento;;;PR 5;
QA-211;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/;SiteNav;Tabulare attraverso le voci di navigazione;"Ogni voce prende il fuoco con un contorno visibile; «Rassegna stampa» viene saltata";;;regola 18;
QA-212;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/;Programme;Premere Freccia giù sullo scroller;Passa alla serata successiva, una sola;;;vincoli-tecnici;
QA-213;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/;Programme;Premere Fine e poi Home;Fine va all’ultima serata, Home riporta alla prima;;;vincoli-tecnici;
QA-214;Accessibilità;media;Desktop Safari (macOS);sola tastiera;/;Programme;Premere Maiusc+Freccia giù;Non viene intercettato: è la selezione, e resta al browser;;;Programme.astro;
QA-215;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/;Timeline;Tabulare fino a una tacca;Il contorno di messa a fuoco si vede per intero, anche sulla pillola piena;;;Timeline.astro;
QA-216;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/81;Modal;Aprire il modale con Invio e tabulare dentro;Il fuoco entra nel pannello e non ne esce finché è aperto;;;PR 12;
QA-217;Accessibilità;alta;Desktop Safari (macOS);sola tastiera;/81;Modal;Chiudere con Esc;Si chiude e il fuoco torna sul bottone che lo ha aperto;;;PR 12;
QA-218;Accessibilità;media;Desktop Safari (macOS);sola tastiera;/;SiteNav;Aprire la tendina con Invio;Si apre e le voci dentro prendono il fuoco in ordine;;;regola 18;
QA-219;Accessibilità;alta;iPhone recente (Safari 18+);VoiceOver;/;Timeline;Scorrere fino a una tacca con VoiceOver;"Annunciata come link, con la data e il titolo della serata; la corrente è annunciata come corrente";;;regola 14;
QA-220;Accessibilità;alta;iPhone recente (Safari 18+);VoiceOver;/81;Scene;Percorrere la scena con VoiceOver;"Titolo, stato, data, sede e nota si sentono in ordine; la foto non viene annunciata";;;Scene.astro;
QA-221;Accessibilità;alta;iPhone recente (Safari 18+);VoiceOver;/80;Scene;Ascoltare la serata annullata;Si sente che è annullata: la barratura non si annuncia, e infatti c’è la parola;;;PR 3;
QA-222;Accessibilità;alta;iPhone recente (Safari 18+);VoiceOver;/81;Modal;Aprire il modale con VoiceOver;Il pannello ha un nome, il fuoco ci atterra dentro e il resto della pagina è inerte;;;PR 12;
QA-223;Accessibilità;alta;iPhone recente (Safari 18+);VoiceOver;/;SiteNav;Aprire la tendina con VoiceOver;Si annuncia espansa o compressa;;;regola 18;
QA-224;Accessibilità;media;iPhone recente (Safari 18+);VoiceOver;/;Base;Chiedere l’elenco dei landmark;Navigazione, contenuto principale e rotaia sono nominati e distinti;;;PR 5;
QA-225;Accessibilità;media;iPhone recente (Safari 18+);VoiceOver;/78;Scene;Ascoltare un link ai materiali;Si sente che si apre in una nuova scheda;;;Scene.astro;
QA-226;Accessibilità;alta;Desktop Chrome (Windows);NVDA;/;Base;Chiedere l’elenco delle intestazioni;Un solo H1 per rotta e un H2 per serata, in ordine;;;PR 5;Da guardare con NVDA: nell’elenco delle intestazioni compare un H2 vuoto, che è il titolo del modale — resta senza testo finché il modale non viene aperto.
QA-227;Accessibilità;alta;Desktop Chrome (Windows);NVDA;/;Timeline;Percorrere le tacche con NVDA;"Ogni tacca è un link con data e titolo; la corrente è annunciata come corrente";;;regola 14;
QA-228;Accessibilità;alta;Desktop Chrome (Windows);NVDA;/81;Modal;Aprire e chiudere il modale con NVDA;Nome annunciato, fuoco dentro, resto inerte, ritorno al bottone;;;PR 12;
QA-229;Accessibilità;media;Desktop Chrome (Windows);NVDA;/chi-siamo;pages.css;Percorrere le sezioni della pagina;Ogni sezione è nominata dalla sua intestazione;;;PR 13;
QA-230;Accessibilità;media;Desktop Chrome (Windows);NVDA;/contatti;pages.css;Ascoltare la riga del numero WhatsApp;Il numero si sente in modo comprensibile;;;regola 17;
QA-231;Accessibilità;media;Desktop Chrome (Windows);NVDA;/componenti;Rassegna;Percorrere la pagina dei componenti;Ogni componente ha un nome accessibile, nessuno è muto;;;PR 6;
QA-232;Accessibilità;alta;Desktop Chrome (Windows);misura del contrasto;/81;Scene;Misurare il contrasto della nota sotto i bottoni;Almeno 4,5:1 — è text-secondary, atteso 5,6:1;OK;;PR 18;
QA-233;Accessibilità;alta;Desktop Chrome (Windows);misura del contrasto;/chi-siamo;pages.css;Misurare il contrasto delle etichette di sezione;Almeno 4,5:1: qui text-muted misura 3,3:1 e va deciso caso per caso;OK;;piano PR 19;Misurato componendo i colori reali: 3,50:1 su testo di 13 px, sotto il 4,5 che serve. Malgrado l’OK segnato, questa è da rivedere.
QA-234;Accessibilità;alta;Desktop Chrome (Windows);misura del contrasto;/chi-siamo;pages.css;Misurare il contrasto della cifra di una statistica;Almeno 4,5:1;OK;;piano PR 19;Misurato 12,14:1: la cifra usa text-primary e non text-muted. Il sospetto scritto nel piano era mal riposto, e l’OK è confermato dai numeri.
QA-235;Accessibilità;alta;Desktop Chrome (Windows);misura del contrasto;/;SiteNav;Misurare il contrasto della voce «Rassegna stampa»;È un controllo inattivo: verificare se la soglia si applica e decidere;OK;;piano PR 19;Misurato 3,83:1. È un controllo inattivo, che WCAG esclude dalla soglia, quindi l’OK regge. Da notare che la nota «in arrivo» accanto alla voce ha lo stesso colore a 11 px.
QA-236;Accessibilità;media;Desktop Chrome (Windows);misura del contrasto;/78;Scene;Misurare il contrasto della freccia di una riga di materiali;È un’icona: soglia 3:1;OK;;piano PR 19;Misurato 3,88:1: sopra il 3:1 che serve a un’icona. OK confermato.
QA-237;Accessibilità;alta;Desktop Chrome (Windows);misura del contrasto;/;Timeline;Misurare il contrasto della data di una tacca lontana;Almeno 3:1 — è tick-far, atteso 3,50:1 — e leggibile a schermo;OK;;Timeline.astro;Misurato 3,50:1 a 11 px: conforme al 3:1 che il progetto dichiara per tick-far, sotto il 4,5 che vorrebbe una parola. È la decisione scritta in Timeline.astro, non una svista.
QA-238;Accessibilità;alta;Desktop Chrome (Windows);misura del contrasto;/81;Scene;Misurare il contrasto del testo che sta sopra la fotografia;Il contrasto è quello della foto e non quello del token: almeno 4,5:1;OK;;piano PR 19;Da guardare a occhio: la cornice della foto arriva a 1211 px su una finestra di 1280, quindi passa sotto la rotaia della Timeline, che comincia a 1132. Le date delle tacche cadono sopra la fotografia, ed è esattamente il caso che questa riga descrive.
QA-239;Accessibilità;alta;Desktop Chrome (Windows);messa a fuoco visibile;/82;Timeline;Mettere a fuoco una tacca su una serata del ciclo 3 (verde);L’anello di messa a fuoco si vede sul verde;OK;;piano PR 19;
QA-240;Accessibilità;alta;Desktop Chrome (Windows);messa a fuoco visibile;/83;Timeline;Mettere a fuoco una tacca su una serata del ciclo 6 (turchese);L’anello di messa a fuoco si vede sul turchese;OK;;piano PR 19;
QA-241;Accessibilità;alta;Desktop Chrome (Windows);messa a fuoco visibile;/78;Timeline;Mettere a fuoco una tacca su una serata del ciclo 2 (oro);L’anello di messa a fuoco si vede sull’oro;OK;;piano PR 19;
QA-242;Accessibilità;media;Desktop Chrome (Windows);messa a fuoco visibile;/componenti;Button;Mettere a fuoco un bottone su superficie sollevata;L’anello si vede su entrambe le superfici del sito;OK;;piano PR 19;
QA-243;Accessibilità;alta;iPhone recente (Safari 18+);bersagli tattili;/;Timeline;Misurare una pillola della barra;Almeno 44x44 px;No;La pillola misura 81x36 px: alta 36 e non 44. Il token --timeline-tick-height vale 36 px, mentre --tap-target, che il sito usa per la linguetta della tendina, vale 44 px;PR 18;
QA-244;Accessibilità;alta;iPhone recente (Safari 18+);bersagli tattili;/;SiteNav;Misurare la linguetta della tendina;Almeno 44x44 px;OK;;regola 18;
QA-245;Accessibilità;media;iPhone recente (Safari 18+);bersagli tattili;/81;Modal;Misurare la X di chiusura;Almeno 44x44 px;OK;;Modal.astro;
QA-246;Leggibilità;alta;Desktop Chrome (Windows);lettura;/;Scene;Rileggere ogni stringa visibile cercando accenti e apostrofi;Accenti e caratteri speciali scritti per intero: «perché», mai «perche’»;OK;;CLAUDE.md, lingua;
QA-247;Leggibilità;alta;Desktop Chrome (Windows);lettura;/chi-siamo;pages.css;Rileggere ogni stringa visibile cercando accenti e apostrofi;Accenti e caratteri speciali scritti per intero: «perché», mai «perche’»;OK;;CLAUDE.md, lingua;
QA-248;Leggibilità;alta;Desktop Chrome (Windows);lettura;/contatti;pages.css;Rileggere ogni stringa visibile cercando accenti e apostrofi;Accenti e caratteri speciali scritti per intero: «perché», mai «perche’»;OK;;CLAUDE.md, lingua;
QA-249;Leggibilità;alta;Desktop Chrome (Windows);lettura;/404;pages.css;Rileggere ogni stringa visibile cercando accenti e apostrofi;Accenti e caratteri speciali scritti per intero: «perché», mai «perche’»;OK;;CLAUDE.md, lingua;
QA-250;Leggibilità;alta;Desktop Chrome (Windows);lettura;/componenti;Rassegna;Rileggere ogni stringa visibile cercando accenti e apostrofi;Accenti e caratteri speciali scritti per intero: «perché», mai «perche’»;OK;;CLAUDE.md, lingua;
QA-251;Leggibilità;alta;Desktop Chrome (Windows);lettura;/;SiteNav;Rileggere le quattro voci e la nota di «Rassegna stampa»;Accenti per intero;OK;;CLAUDE.md, lingua;
QA-252;Leggibilità;alta;Desktop Chrome (Windows);lettura;/81;Scene;Leggere la data lunga della serata;Forma «gio 24 set 26, ore 21», con l’anno e senza minuti quando sono zero;OK;;PR 3;
QA-253;Leggibilità;alta;Desktop Chrome (Windows);lettura;/;Timeline;Leggere le date brevi sulle tacche;Forma «24 set 26», con l’anno;OK;;PR 3;
QA-254;Leggibilità;alta;Desktop Chrome (Windows);lettura;/83;Scene;Leggere la data di una serata di novembre;Ora solare: l’ora pubblicata è quella italiana e non quella UTC;OK;;regola 11;
QA-255;Leggibilità;media;Desktop Chrome (Windows);lettura;/78;Scene;Leggere la nota di una serata passata;«Puntata registrata in sala»;OK;;PR 3;
QA-256;Leggibilità;media;Desktop Chrome (Windows);lettura;/80;Scene;Leggere la nota della serata annullata;«Serata annullata»;OK;;PR 3;
